,Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
1066,Afghanistan,Asia,2015,53.2,70.4,227.735,0.0,65,42,23.3,67,65,0.03,556,34.41,17.2,17.3,3.6,0,1,63.4
626,Albania,Rest of Europe,2015,8.5,9.6,75.205,4.33,99,98,26.6,99,99,0.03,3953,2.88,1.2,1.3,9.7,0,1,78.0
57,Algeria,Africa,2015,21.6,25.2,95.8155,0.55,95,99,25.5,95,95,0.05,4178,39.73,6.0,5.8,7.9,0,1,76.1
216,Angola,Africa,2015,57.7,88.1,242.9655,6.53,64,64,23.2,62,64,0.89,3128,27.88,8.3,8.2,5.0,0,1,59.4
696,Antigua and Barbuda,Central America and Caribbean,2015,6.5,7.8,130.0025,9.06,99,84,26.6,86,99,0.2,14285,0.09,3.3,3.3,9.2,0,1,76.5
2367,Argentina,South America,2015,10.2,11.5,117.1895,8.49,94,87,27.6,93,94,0.13,13789,43.13,1.0,0.9,9.8,0,1,76.1
1823,Armenia,Rest of Europe,2015,12.6,14.1,125.4875,4.04,94,97,26.3,96,94,0.09,3607,2.93,2.1,2.2,11.6,0,1,74.5
2278,Australia,Oceania,2015,3.3,3.9,61.7325,9.68,93,93,27.1,93,93,0.04,56707,23.82,0.6,0.6,12.8,1,0,82.4
1305,Austria,European Union,2015,3.0,3.7,64.6875,11.6,93,88,25.5,93,93,0.08,44196,8.64,1.9,2.1,12.1,1,0,81.2
849,Azerbaijan,Asia,2015,23.3,26.3,124.897,0.51,96,98,26.9,98,96,0.05,5500,9.65,2.8,2.9,10.7,0,1,72.3
2321,"Bahamas, The",Central America and Caribbean,2015,12.0,14.0,158.589,9.27,95,83,27.9,95,95,0.34,31699,0.37,2.5,2.5,11.1,0,1,73.1
2848,Bahrain,Middle East,2015,6.5,7.6,66.684,1.53,98,99,24.8,98,98,0.05,22634,1.37,6.2,6.1,9.3,0,1,76.8
1843,Bangladesh,Asia,2015,31.0,38.1,129.753,0.01,97,90,21.6,98,97,0.01,1248,156.26,17.9,18.3,5.2,0,1,71.5
