,Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
1960,China,Asia,2000,29.9,36.7,112.89,3.01,60,89,22.4,86,85,0.1,2194,1262.65,5.9,5.1,6.5,0,1,71.4
2043,China,Asia,2001,27.8,34.1,109.9355,2.81,65,89,22.5,86,86,0.1,2360,1271.85,5.7,5.0,6.5,0,1,71.7
1938,China,Asia,2002,25.6,31.5,106.982,2.88,70,88,22.5,86,86,0.1,2558,1280.4,5.5,4.9,6.6,0,1,72.1
172,China,Asia,2003,23.4,28.8,105.496,2.89,75,89,22.6,87,86,0.1,2797,1288.4,5.3,4.7,6.7,0,1,72.4
2024,China,Asia,2004,21.4,26.3,104.0095,2.96,79,90,22.7,87,87,0.1,3062,1296.08,5.1,4.6,6.8,0,1,72.7
766,China,Asia,2005,19.4,24.0,102.5235,2.92,84,84,22.8,87,87,0.1,3391,1303.72,5.0,4.4,6.9,0,1,73.0
2744,China,Asia,2006,17.7,21.9,101.037,3.28,91,94,22.8,94,93,0.1,3801,1311.02,4.8,4.3,6.9,0,1,73.3
610,China,Asia,2007,16.2,20.1,99.551,3.89,92,92,22.9,94,93,0.1,4319,1317.89,4.7,4.1,7.0,0,1,73.6
2526,China,Asia,2008,14.8,18.5,97.3465,4.27,95,95,23.0,99,97,0.1,4712,1324.66,4.5,4.0,7.0,0,1,73.8
1018,China,Asia,2009,13.6,17.0,95.1415,4.88,99,98,23.1,99,99,0.1,5129,1331.26,4.4,3.8,7.1,0,1,74.1
484,China,Asia,2010,12.5,15.8,92.937,5.75,99,99,23.2,99,99,0.1,5647,1337.71,4.2,3.6,7.3,0,1,74.4
760,China,Asia,2011,11.5,14.6,90.7325,5.36,99,99,23.3,99,99,0.1,6153,1345.04,4.1,3.5,7.4,0,1,74.7
1785,China,Asia,2012,10.6,13.5,88.5285,5.52,99,99,23.4,99,99,0.1,6592,1354.19,3.9,3.3,7.5,0,1,75.0
2256,China,Asia,2013,9.8,12.5,86.4435,5.62,99,99,23.5,99,99,0.1,7056,1363.24,3.8,3.2,7.5,0,1,75.3
1054,China,Asia,2014,9.0,11.6,84.358,5.65,99,99,23.6,99,99,0.1,7533,1371.86,3.7,3.0,7.6,0,1,75.6
579,China,Asia,2015,8.3,10.7,82.273,5.66,99,99,23.7,99,99,0.1,8016,1379.86,3.6,2.9,7.7,0,1,75.9
1462,India,Asia,2000,66.7,91.7,221.6305,0.93,67,34,20.7,57,58,0.34,758,1056.58,27.7,28.6,4.4,0,1,62.5
2483,India,Asia,2001,64.4,88.1,218.9925,0.98,67,34,20.7,58,59,0.27,781,1075.0,27.5,28.5,4.5,0,1,62.9
2297,India,Asia,2002,62.1,84.5,216.3545,1.08,67,34,20.8,58,59,0.22,797,1093.32,27.4,28.4,4.6,0,1,63.3
2275,India,Asia,2003,60.0,81.1,213.299,1.17,67,34,20.9,57,61,0.19,845,1111.52,27.3,28.3,4.7,0,1,63.7
1905,India,Asia,2004,57.8,77.8,210.2435,1.18,60,34,21.0,58,63,0.17,898,1129.62,27.2,28.2,4.7,0,1,64.1
2203,India,Asia,2005,55.7,74.4,207.188,1.25,80,34,21.0,65,65,0.16,954,1147.61,27.2,28.1,4.8,0,1,64.5
2086,India,Asia,2006,53.6,71.1,204.132,1.35,60,34,21.1,66,65,0.14,1015,1165.49,27.1,28.0,4.9,0,1,64.9
2,India,Asia,2007,51.5,67.9,201.0765,1.57,60,35,21.2,67,64,0.13,1076,1183.21,27.1,28.0,5.0,0,1,65.4
1660,India,Asia,2008,49.4,64.6,197.9155,1.92,29,33,21.2,69,70,0.12,1093,1200.67,27.0,27.9,5.2,0,1,65.8
2262,India,Asia,2009,47.2,61.4,194.7545,2.46,37,34,21.3,73,74,0.11,1162,1217.73,27.0,27.8,5.3,0,1,66.2
295,India,Asia,2010,45.1,58.2,191.5935,2.73,38,38,21.4,76,79,0.1,1244,1234.28,27.0,27.8,5.4,0,1,66.7
2624,India,Asia,2011,43.0,55.0,188.4325,2.95,44,27,21.4,79,82,0.09,1293,1250.29,26.9,27.7,5.4,0,1,67.1
527,India,Asia,2012,40.9,52.0,185.272,3.04,73,36,21.5,79,82,0.08,1347,1265.78,26.9,27.6,5.6,0,1,67.5
1047,India,Asia,2013,38.8,49.0,182.8295,3.03,70,51,21.6,82,83,0.08,1416,1280.84,26.8,27.5,5.8,0,1,67.9
804,India,Asia,2014,36.9,46.2,180.388,3.0,79,60,21.7,84,85,0.07,1503,1295.6,26.8,27.4,6.1,0,1,68.3
639,India,Asia,2015,34.9,43.5,177.9465,3.0,87,69,21.7,86,87,0.06,1606,1310.15,26.7,27.3,6.3,0,1,68.6
983,Indonesia,Asia,2000,41.0,52.2,190.7545,0.063,65,23,21.6,72,75,0.06,1868,211.51,11.0,11.2,6.7,0,1,65.8
2603,Indonesia,Asia,2001,39.4,49.8,191.422,0.06,62,25,21.7,77,76,0.11,1909,214.43,11.0,11.1,6.9,0,1,66.0
350,Indonesia,Asia,2002,37.8,47.6,192.0885,0.054,63,24,21.8,80,70,0.17,1968,217.36,11.0,11.1,7.0,0,1,66.3
2484,Indonesia,Asia,2003,36.4,45.5,191.3535,0.05,64,21,21.9,80,71,0.19,2035,220.31,1.9,11.0,7.2,0,1,66.6
692,Indonesia,Asia,2004,37.1,49.6,190.6185,0.054,64,29,22.0,79,71,0.2,2109,223.29,1.9,1.9,7.3,0,1,67.0
2793,Indonesia,Asia,2005,33.6,41.7,189.8835,0.059,65,23,22.1,79,72,0.21,2199,226.29,1.9,1.9,7.4,0,1,67.3
787,Indonesia,Asia,2006,32.4,39.9,189.1485,0.062,66,50,22.2,78,72,0.22,2289,229.32,1.8,1.8,7.9,0,1,67.7
2719,Indonesia,Asia,2007,31.2,38.3,188.414,0.061,76,73,22.2,77,73,0.22,2403,232.37,1.8,1.7,7.1,0,1,68.1
363,Indonesia,Asia,2008,30.0,36.7,186.9555,0.071,82,66,22.3,83,77,0.21,2514,235.47,1.7,1.7,7.1,0,1,68.5
2371,Indonesia,Asia,2009,29.0,35.2,185.497,0.074,82,67,22.4,85,78,0.21,2595,238.62,1.7,1.6,7.4,0,1,68.9
1776,Indonesia,Asia,2010,27.9,33.8,184.039,0.08,83,74,22.5,82,81,0.21,2720,241.83,1.6,1.5,7.4,0,1,69.2
1129,Indonesia,Asia,2011,26.9,32.5,182.5805,0.08,81,76,22.6,81,81,0.2,2849,245.12,1.6,1.5,7.6,0,1,69.5
648,Indonesia,Asia,2012,25.9,31.2,181.1225,0.08,83,78,22.7,87,83,0.2,2981,248.45,1.5,1.4,7.6,0,1,69.9
2598,Indonesia,Asia,2013,25.0,30.0,179.2695,0.09,85,76,22.8,92,85,0.18,3104,251.81,1.5,1.3,7.8,0,1,70.2
2123,Indonesia,Asia,2014,24.1,28.8,177.417,0.09,78,28,22.9,90,78,0.17,3217,255.13,1.4,1.2,7.8,0,1,70.5
